feature,coefficient,absolute_coefficient
categorical__discharge_disposition_id_7,-0.09738840611084112,0.09738840611084112
categorical__max_glu_serum_>200,-0.09698481281103644,0.09698481281103644
categorical__glyburide_metformin_Steady,-0.09694751499802312,0.09694751499802312
categorical__nateglinide_No,0.09612290947994882,0.09612290947994882
categorical__race_Hispanic,-0.09506410124603017,0.09506410124603017
categorical__diag_1_group_Genitourinary,-0.09239000449043563,0.09239000449043563
categorical__admission_type_id_3,0.09189973289052142,0.09189973289052142
categorical__rosiglitazone_No,0.09124048611006096,0.09124048611006096
categorical__nateglinide_Steady,0.08942547788620323,0.08942547788620323
categorical__age_[70-80),0.08721947935347675,0.08721947935347675
categorical__discharge_disposition_id_18,-0.08335726947865728,0.08335726947865728
numeric__number_diagnoses,0.08233737682465309,0.08233737682465309
categorical__diag_3_group_Musculoskeletal,-0.08172434421310484,0.08172434421310484
categorical__diag_3_group_Injury,-0.08124252045000033,0.08124252045000033
categorical__diag_2_group_Other,-0.08041843064108758,0.08041843064108758
categorical__troglitazone_No,0.08025258747585917,0.08025258747585917
categorical__insulin_Up,-0.0787786178038831,0.0787786178038831
categorical__age_[80-90),0.0783244174886512,0.0783244174886512
categorical__admission_source_id_17,-0.0779668178718774,0.0779668178718774
categorical__diag_2_group_Circulatory,-0.07781277124380118,0.07781277124380118
numeric__number_outpatient,-0.0768298664516693,0.0768298664516693
categorical__glimepiride_Down,-0.07602245519528876,0.07602245519528876
categorical__pioglitazone_No,-0.07538462204831398,0.07538462204831398
categorical__tolazamide_No,0.07419491080187327,0.07419491080187327
categorical__diag_2_group_Missing,0.07180353224846142,0.07180353224846142
categorical__medical_specialty_Osteopath,0.07160311054177237,0.07160311054177237
categorical__diag_2_group_Diabetes,0.07034049209227818,0.07034049209227818
categorical__diag_3_group_Genitourinary,0.0685002672684097,0.0685002672684097
categorical__rosiglitazone_Steady,0.06632117539353628,0.06632117539353628
categorical__diag_3_group_Other,-0.06568459879921044,0.06568459879921044
categorical__diag_3_group_Circulatory,-0.06414278568205586,0.06414278568205586
categorical__pioglitazone_Up,-0.06074831407344136,0.06074831407344136
categorical__medical_specialty_Podiatry,0.0601961063591661,0.0601961063591661
categorical__age_[60-70),0.05836314974041019,0.05836314974041019
categorical__admission_source_id_7,0.055904808723887665,0.055904808723887665
categorical__race_Asian,-0.053734732740771236,0.053734732740771236
categorical__diabetes_med_Yes,-0.05190996840775658,0.05190996840775658
categorical__diag_2_group_External_or_Supplementary,-0.05153854977334883,0.05153854977334883
categorical__diag_2_group_Digestive,-0.05147393256663504,0.05147393256663504
categorical__diag_2_group_Injury,-0.04992289234207134,0.04992289234207134
categorical__discharge_disposition_id_2,0.04973489173630138,0.04973489173630138
categorical__medical_specialty_Psychology,0.04847641730530306,0.04847641730530306
categorical__age_[90-100),-0.04755846286886931,0.04755846286886931
categorical__a1_cresult_>8,-0.045934246312730236,0.045934246312730236
categorical__diag_3_group_Digestive,0.04584035729423713,0.04584035729423713
categorical__medical_specialty_Emergency/Trauma,0.044930228686912474,0.044930228686912474
categorical__diag_1_group_External_or_Supplementary,0.041914300235623245,0.041914300235623245
categorical__glyburide_metformin_No,0.04188460077109765,0.04188460077109765
categorical__miglitol_No,0.04183285632875169,0.04183285632875169
categorical__age_[40-50),0.03728152622557484,0.03728152622557484
categorical__admission_source_id_1,0.037200651011816604,0.037200651011816604
categorical__diag_1_group_Diabetes,0.03616380347251777,0.03616380347251777
categorical__glyburide_Up,-0.03604104943274344,0.03604104943274344
categorical__medical_specialty_Radiologist,0.03458999543035232,0.03458999543035232
categorical__diag_1_group_Circulatory,0.03411914815122946,0.03411914815122946
categorical__acetohexamide_No,0.033386408676986556,0.033386408676986556
numeric__num_medications,0.033368925107187565,0.033368925107187565
categorical__chlorpropamide_Steady,0.03297864516761308,0.03297864516761308
categorical__metformin_No,-0.03240511958235613,0.03240511958235613
numeric__num_lab_procedures,0.028674735009722792,0.028674735009722792
categorical__discharge_disposition_id_3,-0.026498649473640477,0.026498649473640477
categorical__race_Caucasian,-0.025409319605821146,0.025409319605821146
categorical__admission_type_id_8,0.02406810663500353,0.02406810663500353
numeric__num_procedures,-0.023058349995022858,0.023058349995022858
categorical__max_glu_serum_>300,-0.020946109083490982,0.020946109083490982
categorical__medical_specialty_Cardiology,-0.01990965887346719,0.01990965887346719
categorical__glyburide_Steady,-0.019366044305872722,0.019366044305872722
numeric__number_emergency,0.016996848572937567,0.016996848572937567
categorical__glimepiride_Up,-0.016242220060059105,0.016242220060059105
categorical__glimepiride_No,-0.015350113526672711,0.015350113526672711
numeric__time_in_hospital,0.014641464370827835,0.014641464370827835
categorical__diag_3_group_Diabetes,0.014428074491711228,0.014428074491711228
categorical__medical_specialty_Surgery-Neuro,-0.013945997867014474,0.013945997867014474
categorical__admission_type_id_5,0.0137854244113997,0.0137854244113997
categorical__medical_specialty_Pediatrics,-0.013259905673047355,0.013259905673047355
categorical__race_AfricanAmerican,-0.01237166569503217,0.01237166569503217
categorical__admission_source_id_6,0.011200408771617395,0.011200408771617395
categorical__age_[30-40),0.01119366781549468,0.01119366781549468
categorical__miglitol_infrequent_sklearn,-0.006798978718160786,0.006798978718160786
categorical__admission_source_id_2,0.0058633060227874035,0.0058633060227874035
categorical__glyburide_No,-0.0052211978135322384,0.0052211978135322384
categorical__insulin_Down,0.0025743711787350743,0.0025743711787350743
categorical__pioglitazone_Down,0.0005799927827272647,0.0005799927827272647
categorical__diag_3_group_Respiratory,0.00011943993825728393,0.00011943993825728393
